Isoform	Sample	H0_cyclo_count	H1_cyclo_count	H2_cyclo_count	H0_noncyclo_count	H1_noncyclo_count	H2_noncyclo_count	cyclo_count	noncyclo_count	total_cyclo	total_noncyclo	Cyclo_TPM	Noncyclo_TPM	Cyclo_TPM_Rank	Noncyclo_TPM_Rank	Cyclo_TPM_Median	Noncyclo_TPM_Median	Cyclo_TPM_Mean	Noncyclo_TPM_Mean	associated_gene	gene_cyclo_count	gene_noncyclo_count	isoform_cyclo_proportion	isoform_noncyclo_proportion	Avg_Noncyclo_TPM	SD_Noncyclo_TPM	Noncyclo_TPM_Z_Score	test_statistic	z_score_of_test_stat	rank_top_99_9_percentile	rank_top_99_5_percentile	rank_top_99_percentile	rank_top_98_percentile	rank_top_95_percentile	Phenotypes
PB.161551.620	Patient9	0	0	0	1	0	0	0	1	0	1722		580.7200929152149		16.0		580.7200929152149		1807.8682643669024	SRSF6	0.0	3.0		0.3333333333333333	1807.8682643669024	2542.124490874083	-0.48272544317046623	-84.5512312802011	0.001116631495164148						
PB.59138.479	Patient10	0	0	0	139	136	97	0	372	0	1394		266857.962697274		26.0		342731.82957393484		326621.0361678374	HARS1	0.0	402.0		0.9253731343283582	326621.0361678374	90356.74934833545	-0.6614123892413395	-38.04820166006614	0.4799408154859401						Charcot-Marie-Tooth disease, axonal, type 2W, 616625 (3), Autosomal dominant; Usher syndrome type 3B, 614504 (3), Autosomal recessive
PB.59138.479	Patient11	0	0	0	75	73	73	0	221	0	1367		161667.88588149232		30.0		342731.82957393484		326621.0361678374	HARS1	0.0	252.0		0.876984126984127	326621.0361678374	90356.74934833545	-1.8255764121220441	-24.752351998372585	1.4393936447607594						Charcot-Marie-Tooth disease, axonal, type 2W, 616625 (3), Autosomal dominant; Usher syndrome type 3B, 614504 (3), Autosomal recessive
PB.59138.479	Patient12	0	0	0	157	158	161	0	476	0	1791		265773.3109994416		27.0		342731.82957393484		326621.0361678374	HARS1	0.0	520.0		0.9153846153846154	326621.0361678374	90356.74934833545	-0.6734164919304584	-37.94015193472719	0.48773788128591683						Charcot-Marie-Tooth disease, axonal, type 2W, 616625 (3), Autosomal dominant; Usher syndrome type 3B, 614504 (3), Autosomal recessive
PB.59138.479	Patient13	0	0	0	179	169	167	0	515	0	2218		232191.16321009918		28.0		342731.82957393484		326621.0361678374	HARS1	0.0	548.0		0.9397810218978102	326621.0361678374	90356.74934833545	-1.0450782441685724	-34.35647286915432	0.746342717092918						Charcot-Marie-Tooth disease, axonal, type 2W, 616625 (3), Autosomal dominant; Usher syndrome type 3B, 614504 (3), Autosomal recessive
PB.59138.479	Patient14	0	0	0	150	155	152	0	457	0	1708		267564.4028103045		25.0		342731.82957393484		326621.0361678374	HARS1	0.0	464.0		0.9849137931034483	326621.0361678374	90356.74934833545	-0.653594045640829	-38.118339181418726	0.47487956366583717						Charcot-Marie-Tooth disease, axonal, type 2W, 616625 (3), Autosomal dominant; Usher syndrome type 3B, 614504 (3), Autosomal recessive
PB.59138.479	Patient2	0	0	0	24	26	19	0	69	0	1085		63594.47004608294		31.0		342731.82957393484		326621.0361678374	HARS1	0.0	71.0		0.971830985915493	326621.0361678374	90356.74934833545	-2.9109786265966413	24.75235199837259	5.01174362769819						Charcot-Marie-Tooth disease, axonal, type 2W, 616625 (3), Autosomal dominant; Usher syndrome type 3B, 614504 (3), Autosomal recessive
PB.59138.479	Patient21	0	0	0	151	143	131	0	425	0	1328		320030.1204819277		19.0		342731.82957393484		326621.0361678374	HARS1	0.0	461.0		0.9219088937093276	326621.0361678374	90356.74934833545	-0.07294325806809364	-42.868579704102864	0.13209351950980955						Charcot-Marie-Tooth disease, axonal, type 2W, 616625 (3), Autosomal dominant; Usher syndrome type 3B, 614504 (3), Autosomal recessive
PB.59138.479	Patient28	0	0	0	87	81	67	0	235	0	1202		195507.48752079866		29.0		342731.82957393484		326621.0361678374	HARS1	0.0	246.0		0.9552845528455285	326621.0361678374	90356.74934833545	-1.451065355854948	-29.794398573466356	1.0755503421588448						Charcot-Marie-Tooth disease, axonal, type 2W, 616625 (3), Autosomal dominant; Usher syndrome type 3B, 614504 (3), Autosomal recessive
PB.59138.479	Patient29	0	0	0	174	164	167	0	505	0	1857		271943.9956919763		23.0		342731.82957393484		326621.0361678374	HARS1	0.0	544.0		0.9283088235294118	326621.0361678374	90356.74934833545	-0.6051240319090604	-38.549068586622376	0.44379734199593135						Charcot-Marie-Tooth disease, axonal, type 2W, 616625 (3), Autosomal dominant; Usher syndrome type 3B, 614504 (3), Autosomal recessive
