associated_gene	Sample	cyclo_count	noncyclo_count	Cyclo_TPM	Noncyclo_TPM	total_cyclo	total_noncyclo	Cyclo_TPM_Rank	Noncyclo_TPM_Rank	Cyclo_TPM_Median	Noncyclo_TPM_Median	Cyclo_TPM_Mean	Noncyclo_TPM_Mean	Avg_Noncyclo_TPM	SD_Noncyclo_TPM	Noncyclo_TPM_Z_Score	test_statistic	z_score_of_test_stat	rank_top_99_9_percentile	rank_top_99_5_percentile	rank_top_99_percentile	rank_top_98_percentile	rank_top_95_percentile	Phenotypes
SRSF6	Patient26	0	201	0.0	136827.7739959156	0	1469	16.0	9.0	0.0	67276.64155005381	0.0	86000.43620467439	86000.43620467439	64868.28681700796	0.7835467881959645	-11.11429228282294	0.740109652336033						
SRSF6	Patient28	0	165	0.0	137271.2146422629	0	1202	16.0	8.0	0.0	67276.64155005381	0.0	86000.43620467439	86000.43620467439	64868.28681700796	0.790382804192475	-11.039848835699326	0.7431808778256564						
SRSF6	Patient5	0	354	0.0	221804.51127819548	0	1596	16.0	1.0	0.0	67276.64155005381	0.0	86000.43620467439	86000.43620467439	64868.28681700796	2.093535712706911	0.32144680302643086	1.2119004509918652	1.0	1.0	1.0	1.0	1.0	
SRSF6	Patient7	0	262	0.0	151796.06025492467	0	1726	16.0	7.0	0.0	67276.64155005381	0.0	86000.43620467439	86000.43620467439	64868.28681700796	1.0142956948417385	-8.725777794499464	0.8386497772538499	1.0	1.0	1.0	1.0	1.0	
SRSF6	Patient8	0	217	0.0	159676.23252391466	0	1359	16.0	6.0	0.0	67276.64155005381	0.0	86000.43620467439	86000.43620467439	64868.28681700796	1.1357752753217933	-7.561363875815424	0.8866886288346534						
VTA1	Patient1	0	979	0.0	570180.5474665114	0	1717	16.0	15.0	0.0	554969.8795180722	0.0	564732.2394849113	564732.2394849113	91520.96827234412	0.05953070738267558	-11.41761768912569	0.22961466905003847	1.0	1.0	1.0	1.0	1.0	
VTA1	Patient11	0	810	0.0	592538.405267008	0	1367	16.0	10.0	0.0	554969.8795180722	0.0	564732.2394849113	564732.2394849113	91520.96827234412	0.3038228977140222	-10.359804312430743	0.4456328758542268						
VTA1	Patient12	0	1046	0.0	584031.2674483529	0	1791	16.0	13.0	0.0	554969.8795180722	0.0	564732.2394849113	564732.2394849113	91520.96827234412	0.21087001512060444	-10.757520691764368	0.3644144105057025						
VTA1	Patient13	0	1281	0.0	577547.3399458972	0	2218	16.0	14.0	0.0	554969.8795180722	0.0	564732.2394849113	564732.2394849113	91520.96827234412	0.14002365471977185	-11.064560111301134	0.3017132703161526						
VTA1	Patient14	0	1194	0.0	699063.2318501171	0	1708	16.0	2.0	0.0	554969.8795180722	0.0	564732.2394849113	564732.2394849113	91520.96827234412	1.4677619227701946	-5.812960621121684	1.3741530122551557						
VTA1	Patient19	0	912	0.0	589147.2868217054	0	1548	16.0	11.0	0.0	554969.8795180722	0.0	564732.2394849113	564732.2394849113	91520.96827234412	0.2667699850392847	-10.517653469606145	0.4133981805574815						
VTA1	Patient2	0	937	0.0	863594.470046083	0	1085	16.0	1.0	0.0	554969.8795180722	0.0	564732.2394849113	564732.2394849113	91520.96827234412	3.265505557937613	5.812960621121682	3.7483058775203264	1.0	1.0	1.0	1.0	1.0	
VTA1	Patient22	0	1319	0.0	626305.7929724597	0	2106	16.0	8.0	0.0	554969.8795180722	0.0	564732.2394849113	564732.2394849113	91520.96827234412	0.6727808353635472	-8.835539113541172	0.7569061516629799	1.0	1.0	1.0	1.0	1.0	
VTA1	Patient27	0	847	0.0	588603.1966643502	0	1439	16.0	12.0	0.0	554969.8795180722	0.0	564732.2394849113	564732.2394849113	91520.96827234412	0.26082500688153504	-10.543064232271322	0.4082089973750862	1.0	1.0	1.0	1.0	1.0	
VTA1	Patient28	0	786	0.0	653910.1497504159	0	1202	16.0	4.0	0.0	554969.8795180722	0.0	564732.2394849113	564732.2394849113	91520.96827234412	0.9743986755049713	-7.649328325473908	0.9991446532507406	1.0	1.0	1.0	1.0	1.0	
VTA1	Patient29	0	1270	0.0	683898.761443188	0	1857	16.0	3.0	0.0	554969.8795180722	0.0	564732.2394849113	564732.2394849113	91520.96827234412	1.3020679764189784	-6.416123506188767	1.2509799008977198						
VTA1	Patient30	0	1148	0.0	634955.7522123894	0	1808	16.0	6.0	0.0	554969.8795180722	0.0	564732.2394849113	564732.2394849113	91520.96827234412	0.7672942501931358	-8.458300747636779	0.8339427605164427	1.0	1.0	1.0	1.0	1.0	
VTA1	Patient31	0	1178	0.0	634015.0699677072	0	1858	16.0	7.0	0.0	554969.8795180722	0.0	564732.2394849113	564732.2394849113	91520.96827234412	0.7570159253191793	-8.499075518927432	0.8256160620920211	1.0	1.0	1.0	1.0	1.0	
VTA1	Patient4	0	891	0.0	614482.7586206896	0	1450	16.0	9.0	0.0	554969.8795180722	0.0	564732.2394849113	564732.2394849113	91520.96827234412	0.5435969491464827	-9.359675664196473	0.6498711677163341						
VTA1	Patient9	0	1124	0.0	652729.3844367014	0	1722	16.0	5.0	0.0	554969.8795180722	0.0	564732.2394849113	564732.2394849113	91520.96827234412	0.9614970931025557	-7.699034240632191	0.9889941078931073	1.0	1.0	1.0	1.0	1.0	
novelGene_SRSF6_AS	Patient15	0	15	0.0	5829.770695685969	0	2573	16.0	13.0	0.0	4385.964912280701	0.0	5697.974598404766	5697.974598404766	4308.722277770671	0.030588208936361196	-19.362521654541826	0.17194785627425205						
novelGene_SRSF6_AS	Patient17	0	14	0.0	11409.942950285247	0	1227	16.0	5.0	0.0	4385.964912280701	0.0	5697.974598404766	5697.974598404766	4308.722277770671	1.3256756837982717	-7.654851177979974	0.5642495190916545						
novelGene_SRSF6_AS	Patient18	0	12	0.0	8651.766402307137	0	1387	16.0	7.0	0.0	4385.964912280701	0.0	5697.974598404766	5697.974598404766	4308.722277770671	0.6855377565505709	-12.479582973772622	0.4025819772927428						
novelGene_SRSF6_AS	Patient19	0	22	0.0	14211.886304909562	0	1548	16.0	2.0	0.0	4385.964912280701	0.0	5697.974598404766	5697.974598404766	4308.722277770671	1.9759713338753144	-3.826081742805777	0.6925442655973985	1.0	1.0	1.0	1.0	1.0	
novelGene_SRSF6_AS	Patient2	0	9	0.0	8294.930875576038	0	1085	16.0	8.0	0.0	4385.964912280701	0.0	5697.974598404766	5697.974598404766	4308.722277770671	0.6027207394102305	-13.213927425936344	0.3779754981266873						
novelGene_SRSF6_AS	Patient20	0	13	0.0	7479.861910241657	0	1738	16.0	10.0	0.0	4385.964912280701	0.0	5697.974598404766	5697.974598404766	4308.722277770671	0.4135535309458	-15.017220588764342	0.3175505905636563						
novelGene_SRSF6_AS	Patient21	0	8	0.0	6024.096385542169	0	1328	16.0	12.0	0.0	4385.964912280701	0.0	5697.974598404766	5697.974598404766	4308.722277770671	0.07568874624849062	-18.790859205284963	0.19110317242896457						
novelGene_SRSF6_AS	Patient23	0	14	0.0	12079.378774805868	0	1159	16.0	3.0	0.0	4385.964912280701	0.0	5697.974598404766	5697.974598404766	4308.722277770671	1.481043280353366	-6.660767431380275	0.5975593656193251						
novelGene_SRSF6_AS	Patient24	0	11	0.0	6622.516556291391	0	1661	16.0	11.0	0.0	4385.964912280701	0.0	5697.974598404766	5697.974598404766	4308.722277770671	0.21457450684544516	-17.139690146398966	0.24643069199747286						
novelGene_SRSF6_AS	Patient26	0	26	0.0	17699.115044247785	0	1469	16.0	1.0	0.0	4385.964912280701	0.0	5697.974598404766	5697.974598404766	4308.722277770671	2.7853130631692506	3.826081742805777	0.9489536397394008	1.0	1.0	1.0	1.0	1.0	
novelGene_SRSF6_AS	Patient27	0	11	0.0	7644.197359277276	0	1439	16.0	9.0	0.0	4385.964912280701	0.0	5697.974598404766	5697.974598404766	4308.722277770671	0.45169371228991895	-14.638319006150455	0.33024685846777524						
novelGene_SRSF6_AS	Patient30	0	21	0.0	11615.044247787611	0	1808	16.0	4.0	0.0	4385.964912280701	0.0	5697.974598404766	5697.974598404766	4308.722277770671	1.373277103495362	-7.344218853488545	0.5746582146273534						
novelGene_SRSF6_AS	Patient31	0	18	0.0	9687.83638320775	0	1858	16.0	6.0	0.0	4385.964912280701	0.0	5697.974598404766	5697.974598404766	4308.722277770671	0.9259965083819083	-10.5075315316413	0.46866165227662276						
