Isoform	Sample	H0_cyclo_count	H1_cyclo_count	H2_cyclo_count	H0_noncyclo_count	H1_noncyclo_count	H2_noncyclo_count	cyclo_count	noncyclo_count	total_cyclo	total_noncyclo	Cyclo_TPM	Noncyclo_TPM	Cyclo_TPM_Rank	Noncyclo_TPM_Rank	Cyclo_TPM_Median	Noncyclo_TPM_Median	Cyclo_TPM_Mean	Noncyclo_TPM_Mean	associated_gene	gene_cyclo_count	gene_noncyclo_count	isoform_cyclo_proportion	isoform_noncyclo_proportion	Avg_Noncyclo_TPM	SD_Noncyclo_TPM	Noncyclo_TPM_Z_Score	test_statistic	z_score_of_test_stat	rank_top_99_9_percentile	rank_top_99_5_percentile	rank_top_99_percentile	rank_top_98_percentile	rank_top_95_percentile	Phenotypes
PB.161541.4	Patient26	0	1	0	0	1	1	1	2	1690	1469	591.7159763313609	1361.4703880190605	20.0	13.0	944.2870632672333	848.1764206955047	2194.2860325263987	1465.670973255149	novelGene_SRSF6_AS	18.0	26.0	0.05555555555555555	0.07692307692307693	1465.670973255149	1777.0814532920956	-0.05863579581175295	-100.90852076782167	-0.12634359350791116						
PB.161541.4	Patient3	0	0	0	0	0	1	0	1	1987	2019	0.0	495.2947003467063	26.5	21.0	944.2870632672333	848.1764206955047	2194.2860325263987	1465.670973255149	novelGene_SRSF6_AS	1.0	7.0	0.0	0.14285714285714285	1465.670973255149	1777.0814532920956	-0.5460505319611502	-88.27657762692678	0.1774196560492879						
PB.161541.4	Patient30	1	4	1	0	1	1	6	2	1658	1808	3618.8178528347407	1106.1946902654868	5.0	14.0	944.2870632672333	848.1764206955047	2194.2860325263987	1465.670973255149	novelGene_SRSF6_AS	16.0	21.0	0.375	0.09523809523809523	1465.670973255149	1777.0814532920956	-0.20228464054009557	-98.00768493369765	-0.06057974596939674						
PB.161541.4	Patient31	0	0	0	0	0	0	0	0	966	1858	0.0	0.0	26.5	28.0	944.2870632672333	848.1764206955047	2194.2860325263987	1465.670973255149	novelGene_SRSF6_AS	3.0	18.0	0.0	0.0	1465.670973255149	1777.0814532920956	-0.8247629676962474	0.0	2.1787074655788907	1.0	1.0	1.0	1.0	1.0	
PB.161541.4	Patient5	0	0	0	0	1	1	0	2	1596	1993	0.0	1003.5122930255895	26.5	15.0	944.2870632672333	848.1764206955047	2194.2860325263987	1465.670973255149	novelGene_SRSF6_AS	7.0	9.0	0.0	0.2222222222222222	1465.670973255149	1777.0814532920956	-0.2600661209835919	-96.64685826356104	-0.02972891442338047						
PB.161541.4	Patient6	0	0	0	0	0	0	0	0	1602	1714	0.0	0.0	26.5	28.0	944.2870632672333	848.1764206955047	2194.2860325263987	1465.670973255149	novelGene_SRSF6_AS	2.0	1.0	0.0	0.0	1465.670973255149	1777.0814532920956	-0.8247629676962474	0.0	2.1787074655788907	1.0	1.0	1.0	1.0	1.0	
PB.161541.4	Patient7	2	0	0	0	0	0	2	0	1726	1705	1158.7485515643104	0.0	14.0	28.0	944.2870632672333	848.1764206955047	2194.2860325263987	1465.670973255149	novelGene_SRSF6_AS	3.0	2.0	0.6666666666666666	0.0	1465.670973255149	1777.0814532920956	-0.8247629676962474	0.0	2.1787074655788907	1.0	1.0	1.0	1.0	1.0	
PB.161541.4	Patient8	1	0	0	0	0	1	1	1	1359	1179	735.8351729212657	848.1764206955047	18.0	16.0	944.2870632672333	848.1764206955047	2194.2860325263987	1465.670973255149	novelGene_SRSF6_AS	6.0	5.0	0.16666666666666666	0.2	1465.670973255149	1777.0814532920956	-0.3474767863992489	-95.55821868311381	0.007291343609185816						
PB.161551.113	Patient1	1	0	0	0	0	0	1	0	1902	1717	525.7623554153522	0.0	14.0	20.5	0.0	0.0	1593.7473141837554	932.8418843042037	SRSF6	191.0	95.0	0.005235602094240838	0.0	932.8418843042037	2132.220370212808	-0.4374978765497399	0.0	0.0						
PB.161551.113	Patient10	0	0	0	1	0	1	0	2	1394	2180	0.0	917.4311926605506	23.0	6.0	0.0	0.0	1593.7473141837554	932.8418843042037	SRSF6	248.0	345.0	0.0	0.005797101449275362	932.8418843042037	2132.220370212808	-0.007227532322146945	-9.843027830843734	-1.9204386829329683						
PB.161551.113	Patient11	0	0	0	0	0	0	0	0	1367	2226	0.0	0.0	23.0	20.5	0.0	0.0	1593.7473141837554	932.8418843042037	SRSF6	299.0	1145.0	0.0	0.0	932.8418843042037	2132.220370212808	-0.4374978765497399	0.0	0.0						
PB.161551.113	Patient13	0	0	0	0	0	0	0	0	2218	2495	0.0	0.0	23.0	20.5	0.0	0.0	1593.7473141837554	932.8418843042037	SRSF6	387.0	696.0	0.0	0.0	932.8418843042037	2132.220370212808	-0.4374978765497399	0.0	0.0						
PB.161551.113	Patient14	3	0	1	0	0	0	4	0	1161	1708	3445.305770887166	0.0	4.0	20.5	0.0	0.0	1593.7473141837554	932.8418843042037	SRSF6	121.0	44.0	0.03305785123966942	0.0	932.8418843042037	2132.220370212808	-0.4374978765497399	0.0	0.0						
PB.161551.113	Patient15	0	0	0	0	0	0	0	0	1376	2573	0.0	0.0	23.0	20.5	0.0	0.0	1593.7473141837554	932.8418843042037	SRSF6	324.0	294.0	0.0	0.0	932.8418843042037	2132.220370212808	-0.4374978765497399	0.0	0.0						
PB.161551.113	Patient16	4	0	1	0	0	0	5	0	1395	1271	3584.2293906810037	0.0	3.0	20.5	0.0	0.0	1593.7473141837554	932.8418843042037	SRSF6	93.0	54.0	0.053763440860215055	0.0	932.8418843042037	2132.220370212808	-0.4374978765497399	0.0	0.0						
PB.161551.113	Patient17	0	0	0	0	0	0	0	0	975	1227	0.0	0.0	23.0	20.5	0.0	0.0	1593.7473141837554	932.8418843042037	SRSF6	56.0	25.0	0.0	0.0	932.8418843042037	2132.220370212808	-0.4374978765497399	0.0	0.0						
PB.161551.113	Patient18	0	0	0	0	0	0	0	0	988	1387	0.0	0.0	23.0	20.5	0.0	0.0	1593.7473141837554	932.8418843042037	SRSF6	157.0	82.0	0.0	0.0	932.8418843042037	2132.220370212808	-0.4374978765497399	0.0	0.0						
PB.161551.113	Patient19	2	1	2	0	0	0	5	0	1229	1548	4068.3482506102523	0.0	2.0	20.5	0.0	0.0	1593.7473141837554	932.8418843042037	SRSF6	74.0	31.0	0.06756756756756757	0.0	932.8418843042037	2132.220370212808	-0.4374978765497399	0.0	0.0						
PB.161551.113	Patient2	0	0	0	0	0	0	0	0	1277	1085	0.0	0.0	23.0	20.5	0.0	0.0	1593.7473141837554	932.8418843042037	SRSF6	88.0	62.0	0.0	0.0	932.8418843042037	2132.220370212808	-0.4374978765497399	0.0	0.0						
PB.161551.113	Patient20	2	0	1	1	0	0	3	1	1888	1738	1588.9830508474577	575.3739930955121	9.0	9.0	0.0	0.0	1593.7473141837554	932.8418843042037	SRSF6	54.0	81.0	0.05555555555555555	0.012345679012345678	932.8418843042037	2132.220370212808	-0.16765053753473627	-9.170861430078151	-1.7892946508747556						
PB.161551.113	Patient21	0	0	0	0	0	0	0	0	1417	1328	0.0	0.0	23.0	20.5	0.0	0.0	1593.7473141837554	932.8418843042037	SRSF6	334.0	122.0	0.0	0.0	932.8418843042037	2132.220370212808	-0.4374978765497399	0.0	0.0						
