#readname	haplotype
Sample11_m88888_231120_235038_s1/134879071/ccs/1978_3924	none
Sample11_m88888_231120_235038_s1/49941256/ccs/5341_7287	H1
Sample11_m88888_231120_235038_s1/211158695/ccs/16001_17947	none
Sample11_m88888_231117_223025_s4/62522955/ccs/2317_4261	none
Sample11_m88888_231120_235038_s1/77532910/ccs/4296_6242	none
Sample11_m88888_231120_235038_s1/151193236/ccs/67_2013	H1
Sample11_m88888_231117_223025_s4/24973418/ccs/2985_4929	H2
Sample11_m88888_231117_223025_s4/177804966/ccs/67_2010	none
Sample11_m88888_231120_235038_s1/227478539/ccs/11829_13772	H1
Sample11_m88888_231120_235038_s1/149558363/ccs/10748_12693	H2
Sample11_m88888_231120_235038_s1/187761465/ccs/11790_13734	none
Sample11_m88888_231117_223025_s4/189402644/ccs/9248_11193	H1
Sample11_m88888_231120_235038_s1/38016601/ccs/14241_16186	none
Sample11_m88888_231120_235038_s1/228983985/ccs/15013_16954	H2
Sample11_m88888_231117_223025_s4/259132862/ccs/2661_4605	H1
Sample11_m88888_231120_235038_s1/124127907/ccs/13771_15714	H1
Sample11_m88888_231120_235038_s1/183896155/ccs/1980_3925	none
Sample11_m88888_231120_235038_s1/213978922/ccs/12562_14505	H1
Sample11_m88888_231120_235038_s1/66064946/ccs/8590_10534	H2
Sample11_m88888_231120_235038_s1/103551330/ccs/12172_14113	H1
Sample11_m88888_231117_223025_s4/129109410/ccs/5111_7060	H2
Sample11_m88888_231120_235038_s1/153487849/ccs/67_2011	none
Sample11_m88888_231117_223025_s4/19795196/ccs/3601_5549	none
Sample11_m88888_231117_223025_s4/26806266/ccs/5851_7795	H2
Sample11_m88888_231117_223025_s4/38929083/ccs/67_2011	none
Sample11_m88888_231117_223025_s4/119014055/ccs/5450_7394	H1
Sample11_m88888_231117_223025_s4/114166612/ccs/4915_6858	H2
Sample11_m88888_231117_223025_s4/76026731/ccs/39_1983	H1
Sample11_m88888_231120_235038_s1/169673696/ccs/6598_8544	H1
Sample11_m88888_231120_235038_s1/227674711/ccs/4165_6109	H2
Sample11_m88888_231117_223025_s4/238421084/ccs/13292_15238	none
Sample11_m88888_231120_235038_s1/199168235/ccs/2419_4364	H2
Sample11_m88888_231117_223025_s4/196482792/ccs/13105_15049	none
Sample11_m88888_231117_223025_s4/129369047/ccs/39_1982	H2
Sample11_m88888_231120_235038_s1/75630770/ccs/13069_15012	none
Sample11_m88888_231120_235038_s1/188549120/ccs/3159_5102	H2
Sample11_m88888_231120_235038_s1/177605244/ccs/15150_17093	H1
Sample11_m88888_231120_235038_s1/152241318/ccs/7288_9230	H2
Sample11_m88888_231120_235038_s1/262212186/ccs/2027_3970	H2
Sample11_m88888_231120_235038_s1/176100484/ccs/13553_15497	none
Sample11_m88888_231120_235038_s1/95294661/ccs/4472_6415	none
Sample11_m88888_231117_223025_s4/45156287/ccs/67_2009	H2
Sample11_m88888_231120_235038_s1/211947123/ccs/3756_5699	H1
Sample11_m88888_231117_223025_s4/27396473/ccs/4877_6823	H2
Sample11_m88888_231117_223025_s4/259917702/ccs/6557_8505	H2
Sample11_m88888_231117_223025_s4/182846305/ccs/8537_10480	none
Sample11_m88888_231120_235038_s1/23725738/ccs/7901_9843	H1
Sample11_m88888_231117_223025_s4/30412988/ccs/39_1984	H2
Sample11_m88888_231117_223025_s4/54595697/ccs/4577_6520	none
Sample11_m88888_231117_223025_s4/128716325/ccs/4218_6164	none
Sample11_m88888_231117_223025_s4/173542306/ccs/39_1982	H2
Sample11_m88888_231117_223025_s4/179377144/ccs/39_1981	H2
Sample11_m88888_231117_223025_s4/67704316/ccs/12559_14506	H1
Sample11_m88888_231117_223025_s4/79496318/ccs/4154_6094	none
Sample11_m88888_231117_223025_s4/227739175/ccs/14533_16474	H1
Sample11_m88888_231120_235038_s1/88937626/ccs/39_1977	H2
Sample11_m88888_231120_235038_s1/64360707/ccs/39_1981	H1
Sample11_m88888_231120_235038_s1/212470594/ccs/6871_8812	none
Sample11_m88888_231120_235038_s1/143593640/ccs/11626_13567	H2
Sample11_m88888_231117_223025_s4/157025082/ccs/11401_13341	H1
Sample11_m88888_231120_235038_s1/159188337/ccs/10471_12413	H2
Sample11_m88888_231117_223025_s4/242420608/ccs/5610_7550	H2
Sample11_m88888_231117_223025_s4/210702518/ccs/39_1979	H2
Sample11_m88888_231120_235038_s1/35459182/ccs/7262_9195	none
Sample11_m88888_231120_235038_s1/167710713/ccs/4251_6191	none
Sample11_m88888_231120_235038_s1/216143646/ccs/67_2003	H2
Sample11_m88888_231117_223025_s4/55906763/ccs/6290_8230	H2
Sample11_m88888_231120_235038_s1/70255745/ccs/18077_20015	H1
Sample11_m88888_231120_235038_s1/189073731/ccs/6423_8362	H1
Sample11_m88888_231120_235038_s1/71961135/ccs/2033_3972	H2
Sample11_m88888_231120_235038_s1/151260252/ccs/10632_12572	none
Sample11_m88888_231117_223025_s4/183243046/ccs/15906_17842	H2
Sample11_m88888_231117_223025_s4/204607313/ccs/2244_4182	H1
Sample11_m88888_231120_235038_s1/156832393/ccs/67_2005	none
Sample11_m88888_231120_235038_s1/138742571/ccs/69_2007	H2
Sample11_m88888_231117_223025_s4/76223391/ccs/11049_12987	H1
Sample11_m88888_231117_223025_s4/252186971/ccs/3521_5462	H1
Sample11_m88888_231117_223025_s4/106039216/ccs/67_2004	H1
Sample11_m88888_231117_223025_s4/15275337/ccs/6095_8033	none
Sample11_m88888_231120_235038_s1/209324272/ccs/4629_6568	H2
Sample11_m88888_231117_223025_s4/251270032/ccs/3136_5076	H2
Sample11_m88888_231120_235038_s1/159712247/ccs/10345_12284	H1
Sample11_m88888_231120_235038_s1/200214712/ccs/8585_10522	H1
Sample11_m88888_231117_223025_s4/259327343/ccs/2073_4010	H1
Sample11_m88888_231120_235038_s1/226099984/ccs/67_2003	H2
Sample11_m88888_231120_235038_s1/49222008/ccs/9505_11454	H1
Sample11_m88888_231117_223025_s4/165812008/ccs/6168_8106	H1
Sample11_m88888_231120_235038_s1/184487645/ccs/9250_11187	H2
Sample11_m88888_231120_235038_s1/55907198/ccs/3875_5811	H1
Sample11_m88888_231117_223025_s4/119144703/ccs/39_1979	none
Sample11_m88888_231120_235038_s1/150998444/ccs/39_1977	none
Sample11_m88888_231120_235038_s1/141298313/ccs/9437_11375	H2
Sample11_m88888_231120_235038_s1/169152172/ccs/11470_13410	H2
Sample11_m88888_231120_235038_s1/32970366/ccs/39_1977	H1
Sample11_m88888_231117_223025_s4/124848762/ccs/1560_3498	H1
Sample11_m88888_231117_223025_s4/118884760/ccs/8040_9976	H2
Sample11_m88888_231117_223025_s4/153683548/ccs/13523_15461	none
Sample11_m88888_231117_223025_s4/233573892/ccs/1962_3901	H2
Sample11_m88888_231117_223025_s4/109712292/ccs/3296_5233	H1
Sample11_m88888_231120_235038_s1/209524542/ccs/3319_5257	H1
Sample11_m88888_231117_223025_s4/74712989/ccs/1771_3704	H1
Sample11_m88888_231120_235038_s1/70846936/ccs/2699_4634	H1
Sample11_m88888_231117_223025_s4/264046511/ccs/16511_18448	H1
Sample11_m88888_231120_235038_s1/138285764/ccs/4851_6787	none
Sample11_m88888_231117_223025_s4/133368682/ccs/5220_7155	H2
Sample11_m88888_231117_223025_s4/101190354/ccs/4108_6044	H2
Sample11_m88888_231120_235038_s1/54854644/ccs/67_2002	none
Sample11_m88888_231117_223025_s4/160372169/ccs/11796_13732	H2
Sample11_m88888_231117_223025_s4/218366367/ccs/1963_3897	none
Sample11_m88888_231120_235038_s1/74847228/ccs/13464_15400	none
Sample11_m88888_231117_223025_s4/112329717/ccs/4195_6132	none
Sample11_m88888_231117_223025_s4/120785724/ccs/4336_6273	H2
Sample11_m88888_231120_235038_s1/237899561/ccs/6878_8814	none
Sample11_m88888_231117_223025_s4/133174256/ccs/4983_6918	H1
Sample11_m88888_231117_223025_s4/172689233/ccs/67_2002	H1
Sample11_m88888_231120_235038_s1/92146847/ccs/9811_11746	H1
Sample11_m88888_231120_235038_s1/191562098/ccs/10827_12760	H1
Sample11_m88888_231117_223025_s4/89920657/ccs/2426_4360	H1
Sample11_m88888_231117_223025_s4/183109826/ccs/7628_9561	none
Sample11_m88888_231117_223025_s4/178325238/ccs/6846_8762	none
Sample11_m88888_231117_223025_s4/118097833/ccs/6774_8708	H1
Sample11_m88888_231117_223025_s4/144310865/ccs/2718_4638	H1
Sample11_m88888_231117_223025_s4/139791872/ccs/9161_11092	none
Sample11_m88888_231117_223025_s4/115411054/ccs/67_2001	H2
Sample11_m88888_231120_235038_s1/96273126/ccs/7608_9540	none
Sample11_m88888_231117_223025_s4/257626722/ccs/39_1969	H1
Sample11_m88888_231117_223025_s4/254346850/ccs/11679_13611	H2
Sample11_m88888_231120_235038_s1/30083921/ccs/11658_13592	H1
Sample11_m88888_231117_223025_s4/140119520/ccs/67_2002	H2
Sample11_m88888_231120_235038_s1/159386283/ccs/39_1969	none
Sample11_m88888_231120_235038_s1/104663033/ccs/13678_15613	H1
Sample11_m88888_231120_235038_s1/234033716/ccs/12734_14665	H1
Sample11_m88888_231120_235038_s1/111674184/ccs/12491_14423	H1
Sample11_m88888_231120_235038_s1/260965645/ccs/15733_17666	none
Sample11_m88888_231117_223025_s4/238753227/ccs/5780_7713	none
Sample11_m88888_231117_223025_s4/5968544/ccs/4520_6447	H2
Sample11_m88888_231117_223025_s4/156110384/ccs/10619_12552	none
Sample11_m88888_231120_235038_s1/187765967/ccs/67_1999	none
Sample11_m88888_231117_223025_s4/16847527/ccs/1965_3897	none
Sample11_m88888_231117_223025_s4/178656770/ccs/12933_14864	H1
Sample11_m88888_231120_235038_s1/164497921/ccs/2669_4594	H2
Sample11_m88888_231120_235038_s1/125699331/ccs/8276_10207	H1
Sample11_m88888_231117_223025_s4/117637332/ccs/1825_3752	H2
Sample11_m88888_231120_235038_s1/83824948/ccs/39_1968	H2
Sample11_m88888_231117_223025_s4/35589624/ccs/39_1967	none
Sample11_m88888_231117_223025_s4/12652271/ccs/7508_9435	H2
Sample11_m88888_231120_235038_s1/199100154/ccs/16588_18517	none
Sample11_m88888_231120_235038_s1/42795970/ccs/10358_12290	none
Sample11_m88888_231120_235038_s1/216076272/ccs/15384_17310	H2
Sample11_m88888_231120_235038_s1/60033242/ccs/39_1967	H1
Sample11_m88888_231117_223025_s4/138740975/ccs/10887_12811	H1
Sample11_m88888_231120_235038_s1/29625301/ccs/11324_13244	H1
Sample11_m88888_231117_223025_s4/213714975/ccs/6640_8565	H1
Sample11_m88888_231120_235038_s1/179831894/ccs/11458_13383	H1
Sample11_m88888_231120_235038_s1/137757697/ccs/10246_12174	H2
Sample11_m88888_231120_235038_s1/35132744/ccs/1650_3580	H2
Sample11_m88888_231120_235038_s1/232391746/ccs/7437_9360	none
Sample11_m88888_231120_235038_s1/65995434/ccs/8124_10046	H2
Sample11_m88888_231117_223025_s4/156763999/ccs/12681_14604	H1
Sample11_m88888_231117_223025_s4/137629581/ccs/39_1961	none
Sample11_m88888_231117_223025_s4/264307975/ccs/8107_10029	H2
Sample11_m88888_231117_223025_s4/153032500/ccs/16240_18156	H2
Sample11_m88888_231117_223025_s4/213518601/ccs/67_1988	H2
Sample11_m88888_231120_235038_s1/235671951/ccs/39_1959	H1
Sample11_m88888_231120_235038_s1/167249736/ccs/8904_10824	H1
Sample11_m88888_231120_235038_s1/264702782/ccs/8146_10065	H1
Sample11_m88888_231117_223025_s4/10817788/ccs/39_1958	H1
Sample11_m88888_231117_223025_s4/131664117/ccs/10214_12136	none
Sample11_m88888_231120_235038_s1/245762412/ccs/13848_15767	H1
Sample11_m88888_231117_223025_s4/47519496/ccs/2346_4261	none
Sample11_m88888_231120_235038_s1/83101320/ccs/14893_16810	H2
Sample11_m88888_231120_235038_s1/126617961/ccs/13296_15209	H2
Sample11_m88888_231117_223025_s4/147852128/ccs/7642_9565	H2
Sample11_m88888_231120_235038_s1/240781377/ccs/5731_7649	H1
