Isoform	Sample	H0_cyclo_count	H1_cyclo_count	H2_cyclo_count	H0_noncyclo_count	H1_noncyclo_count	H2_noncyclo_count	cyclo_count	noncyclo_count	total_cyclo	total_noncyclo	Cyclo_TPM	Noncyclo_TPM	Cyclo_TPM_Rank	Noncyclo_TPM_Rank	Cyclo_TPM_Median	Noncyclo_TPM_Median	Cyclo_TPM_Mean	Noncyclo_TPM_Mean	associated_gene	gene_cyclo_count	gene_noncyclo_count	isoform_cyclo_proportion	isoform_noncyclo_proportion	NoncycloHaplotypeDifference	test_statistic	z_score_of_test_stat	rank_top_99_9_percentile	rank_top_99_5_percentile	rank_top_99_percentile	rank_top_98_percentile	rank_top_95_percentile	Phenotypes	Source_File	Avg_Noncyclo_TPM	SD_Noncyclo_TPM	Noncyclo_TPM_Z_Score
PB.70308.21	Patient29	0	0	0	229	179	227	0	635	0	1857		341949.380721594		5.0		280207.1346375144		283911.87846636825	VTA1	0.0	1270.0		0.5	-0.1182266009852216	2.955199453202336	3.5485793661609564	1.0	1.0	1.0	1.0	2.0		Noncyclo_Allelic_Imbalance_isoform_top_ranked_data.tsv.gz			
PB.70308.26	Patient9	0	0	0	4	9	3	0	16	0	1722		9291.521486643438		1.0		2927.400468384076		3201.7783566946323	VTA1	0.0	1124.0		0.0142348754448398	0.5	4.739062648820952	5.5677643628300215	1.0	1.0	1.0	1.0	2.0		Noncyclo_Allelic_Imbalance_isoform_top_ranked_data.tsv.gz			
PB.70308.42	Patient21	0	0	0	17	9	2	0	28	0	1328		21084.33734939759		4.0		12509.197939661515		13172.93256224263	VTA1	0.0	737.0		0.0379918588873812	0.6363636363636364	6.008913696943694	2.409160705114336	1.0	1.0	1.0	1.0	1.0		Noncyclo_Allelic_Imbalance_isoform_top_ranked_data.tsv.gz			
PB.70308.42	Patient3	0	0	0	6	4	11	0	21	0	2019		10401.188707280831		21.0		12509.197939661515		13172.93256224263	VTA1	0.0	1000.0		0.021	-0.4666666666666667	4.934537242082041	1.945654506556454	1.0	1.0	1.0	1.0	1.0		Noncyclo_Allelic_Imbalance_isoform_top_ranked_data.tsv.gz			
PB.70308.42	Patient4	0	0	0	3	9	12	0	24	0	1450		16551.724137931036		7.0		12509.197939661515		13172.93256224263	VTA1	0.0	891.0		0.0269360269360269	-0.1428571428571428	1.6625431975416274	0.5340547694007777	1.0	1.0	1.0	1.0	1.0		Noncyclo_Allelic_Imbalance_isoform_top_ranked_data.tsv.gz			
PB.161541.3	Patient1	0	0	0	0	0	0	0	0	0	1717		0.0		30.0		2971.7682020802376		4217.210237181577	novelGene_SRSF6_AS	0.0	0.0				0.0	3.151037109387037	1.0	1.0	1.0	1.0	1.0		Noncyclo_LOE_isoform_top_ranked_data.tsv.gz	4217.210237181577	4007.6733361144015	-1.0522839272300395
PB.161541.3	Patient12	0	0	0	0	0	0	0	0	0	1791		0.0		30.0		2971.7682020802376		4217.210237181577	novelGene_SRSF6_AS	0.0	2.0		0.0		0.0	3.151037109387037	1.0	1.0	1.0	1.0	1.0		Noncyclo_LOE_isoform_top_ranked_data.tsv.gz	4217.210237181577	4007.6733361144015	-1.0522839272300395
PB.161551.18	Patient9	0	0	0	0	0	0	0	0	0	1722		0.0		31.0		41351.1939429237		56432.16802184861	SRSF6	0.0	3.0		0.0		202.8622518731178	5.4166344229749	1.0	1.0	1.0	1.0	1.0		Noncyclo_LOE_isoform_top_ranked_data.tsv.gz	56432.16802184861	44737.82319924406	-1.2613972693870843
PB.161551.19	Patient10	0	0	0	0	0	0	0	0	0	1394		0.0		29.0		5559.416261292564		12344.236204445102	SRSF6	0.0	248.0		0.0		0.0	2.4539819843960613	1.0	1.0	1.0	1.0	1.0		Noncyclo_LOE_isoform_top_ranked_data.tsv.gz	12344.236204445102	17848.96900807238	-0.6915937945134139
PB.161551.19	Patient29	0	0	0	0	0	0	0	0	0	1857		0.0		29.0		5559.416261292564		12344.236204445102	SRSF6	0.0	35.0		0.0		0.0	2.4539819843960613	1.0	1.0	1.0	1.0	1.0		Noncyclo_LOE_isoform_top_ranked_data.tsv.gz	12344.236204445102	17848.96900807238	-0.6915937945134139
PB.161551.19	Patient30	0	0	0	0	0	0	0	0	0	1808		0.0		29.0		5559.416261292564		12344.236204445102	SRSF6	0.0	127.0		0.0		0.0	2.4539819843960613	1.0	1.0	1.0	1.0	1.0		Noncyclo_LOE_isoform_top_ranked_data.tsv.gz	12344.236204445102	17848.96900807238	-0.6915937945134139
PB.161551.31	Patient20	0	0	0	0	0	0	0	0	0	1738		0.0		27.0		2259.0361445783133		3554.994421578976	SRSF6	0.0	81.0		0.0		0.0	2.008933950213134	1.0	1.0	1.0	1.0	1.0		Noncyclo_LOE_isoform_top_ranked_data.tsv.gz	3554.994421578976	4038.966642367313	-0.8801742466224796
PB.161551.31	Patient24	0	0	0	0	0	0	0	0	0	1661		0.0		27.0		2259.0361445783133		3554.994421578976	SRSF6	0.0	41.0		0.0		0.0	2.008933950213134	1.0	1.0	1.0	1.0	1.0		Noncyclo_LOE_isoform_top_ranked_data.tsv.gz	3554.994421578976	4038.966642367313	-0.8801742466224796
PB.161551.38	Patient17	0	0	0	0	0	0	0	0	0	1227		0.0		28.5		1573.5641227380015		2633.5546940838576	SRSF6	0.0	25.0		0.0		0.0	2.312750967085767	1.0	1.0	1.0	1.0	1.0		Noncyclo_LOE_isoform_top_ranked_data.tsv.gz	2633.5546940838576	3097.1235201992918	-0.850322783998746
PB.161551.38	Patient19	0	0	0	0	0	0	0	0	0	1548		0.0		28.5		1573.5641227380015		2633.5546940838576	SRSF6	0.0	31.0		0.0		0.0	2.312750967085767	1.0	1.0	1.0	1.0	1.0		Noncyclo_LOE_isoform_top_ranked_data.tsv.gz	2633.5546940838576	3097.1235201992918	-0.850322783998746
