Isoform,Sample,cyclo_count,noncyclo_count,total_cyclo,total_noncyclo,Cyclo_TPM,Noncyclo_TPM,Cyclo_TPM_Rank,Noncyclo_TPM_Rank,associated_gene
PB.161551.263,Patient17,0,0,975,1227,0.0,0.0,17.0,16.5,SRSF6
PB.161551.263,Patient18,0,0,988,1387,0.0,0.0,17.0,16.5,SRSF6
PB.161551.263,Patient19,0,0,1229,1548,0.0,0.0,17.0,16.5,SRSF6
PB.161551.263,Patient2,0,0,1277,1085,0.0,0.0,17.0,16.5,SRSF6
PB.161551.263,Patient20,0,0,1888,1738,0.0,0.0,17.0,16.5,SRSF6
PB.161551.263,Patient21,0,0,1417,1328,0.0,0.0,17.0,16.5,SRSF6
PB.161551.263,Patient22,0,0,1221,2106,0.0,0.0,17.0,16.5,SRSF6
PB.161551.263,Patient23,0,0,665,1159,0.0,0.0,17.0,16.5,SRSF6
PB.161551.263,Patient24,1,0,1059,1661,944.2870632672333,0.0,2.0,16.5,SRSF6
PB.161551.263,Patient25,0,0,1372,1946,0.0,0.0,17.0,16.5,SRSF6
PB.161551.263,Patient26,0,0,1690,1469,0.0,0.0,17.0,16.5,SRSF6
PB.161551.263,Patient27,0,0,917,1439,0.0,0.0,17.0,16.5,SRSF6
