associated_gene	Sample	cyclo_count	noncyclo_count	Cyclo_TPM	Noncyclo_TPM	total_cyclo	total_noncyclo	Cyclo_TPM_Rank	Noncyclo_TPM_Rank	Cyclo_TPM_Median	Noncyclo_TPM_Median	Cyclo_TPM_Mean	Noncyclo_TPM_Mean	Avg_Cyclo_TPM	SD_Cyclo_TPM	Cyclo_TPM_Z_Score	test_statistic	z_score_of_test_stat	rank_top_99_9_percentile	rank_top_99_5_percentile	rank_top_99_percentile	rank_top_98_percentile	rank_top_95_percentile	Phenotypes
HARS1	Patient16	653	647	468100.358422939	509047.9937057435	1395	1271	2.0	1.0	310319.7674418605	347138.5542168675	317227.10950330645	326306.0749468037	317227.10950330645	116796.2420782722	1.2917645827896014	-12.202209270051954	0.9791686735370206						Charcot-Marie-Tooth disease, axonal, type 2W, 616625 (3), Autosomal dominant; Usher syndrome type 3B, 614504 (3), Autosomal recessive
HARS1	Patient17	401	543	411282.0512820513	442542.7872860636	975	1227	4.0	5.0	310319.7674418605	347138.5542168675	317227.10950330645	326306.0749468037	317227.10950330645	116796.2420782722	0.8052908219060076	-15.606392255940552	0.6760393394359231	1.0	1.0	1.0	1.0	1.0	Charcot-Marie-Tooth disease, axonal, type 2W, 616625 (3), Autosomal dominant; Usher syndrome type 3B, 614504 (3), Autosomal recessive
HARS1	Patient18	325	594	328947.36842105264	428262.4369142033	988	1387	13.0	6.0	310319.7674418605	347138.5542168675	317227.10950330645	326306.0749468037	317227.10950330645	116796.2420782722	0.10034791110737741	-21.482826765805534	0.15276556500951652						Charcot-Marie-Tooth disease, axonal, type 2W, 616625 (3), Autosomal dominant; Usher syndrome type 3B, 614504 (3), Autosomal recessive
HARS1	Patient19	419	582	340927.5834011391	375968.992248062	1229	1548	12.0	10.0	310319.7674418605	347138.5542168675	317227.10950330645	326306.0749468037	317227.10950330645	116796.2420782722	0.20292154504379997	-20.541774345464972	0.2365626448711323						Charcot-Marie-Tooth disease, axonal, type 2W, 616625 (3), Autosomal dominant; Usher syndrome type 3B, 614504 (3), Autosomal recessive
HARS1	Patient20	715	781	378707.6271186441	449367.08860759495	1888	1738	6.0	4.0	310319.7674418605	347138.5542168675	317227.10950330645	326306.0749468037	317227.10950330645	116796.2420782722	0.5263912307566867	-17.777085614800452	0.48274748787080596	1.0	1.0	1.0	1.0	1.0	Charcot-Marie-Tooth disease, axonal, type 2W, 616625 (3), Autosomal dominant; Usher syndrome type 3B, 614504 (3), Autosomal recessive
HARS1	Patient22	394	738	322686.3226863227	350427.35042735044	1221	2106	14.0	15.0	310319.7674418605	347138.5542168675	317227.10950330645	326306.0749468037	317227.10950330645	116796.2420782722	0.04674134275105938	-21.988364187538703	0.10774941204464875						Charcot-Marie-Tooth disease, axonal, type 2W, 616625 (3), Autosomal dominant; Usher syndrome type 3B, 614504 (3), Autosomal recessive
HARS1	Patient23	495	545	744360.9022556391	470232.9594477998	665	1159	1.0	3.0	310319.7674418605	347138.5542168675	317227.10950330645	326306.0749468037	317227.10950330645	116796.2420782722	3.6570850667103185	12.202209270051954	3.1522877954678727	1.0	1.0	1.0	1.0	1.0	Charcot-Marie-Tooth disease, axonal, type 2W, 616625 (3), Autosomal dominant; Usher syndrome type 3B, 614504 (3), Autosomal recessive
HARS1	Patient24	475	805	448536.35505193577	484647.80252859724	1059	1661	3.0	2.0	310319.7674418605	347138.5542168675	317227.10950330645	326306.0749468037	317227.10950330645	116796.2420782722	1.124259164611059	-13.325322189611294	0.8791598100776745	1.0	1.0	1.0	1.0	1.0	Charcot-Marie-Tooth disease, axonal, type 2W, 616625 (3), Autosomal dominant; Usher syndrome type 3B, 614504 (3), Autosomal recessive
HARS1	Patient27	324	534	353326.0632497274	371091.03544127865	917	1439	8.0	13.0	310319.7674418605	347138.5542168675	317227.10950330645	326306.0749468037	317227.10950330645	116796.2420782722	0.3090763290331626	-19.60206590496304	0.3202400485240313						Charcot-Marie-Tooth disease, axonal, type 2W, 616625 (3), Autosomal dominant; Usher syndrome type 3B, 614504 (3), Autosomal recessive
HARS1	Patient29	392	544	375478.92720306513	292945.6112008616	1044	1857	7.0	19.0	310319.7674418605	347138.5542168675	317227.10950330645	326306.0749468037	317227.10950330645	116796.2420782722	0.49874736261394975	-18.00232707271943	0.4626906068412105						Charcot-Marie-Tooth disease, axonal, type 2W, 616625 (3), Autosomal dominant; Usher syndrome type 3B, 614504 (3), Autosomal recessive
HARS1	Patient5	559	435	350250.62656641606	218263.92373306572	1596	1993	10.0	26.0	310319.7674418605	347138.5542168675	317227.10950330645	326306.0749468037	317227.10950330645	116796.2420782722	0.28274468831778476	-19.832048415627632	0.29976099507665666						Charcot-Marie-Tooth disease, axonal, type 2W, 616625 (3), Autosomal dominant; Usher syndrome type 3B, 614504 (3), Autosomal recessive
HARS1	Patient6	657	531	410112.3595505618	309801.6336056009	1602	1714	5.0	18.0	310319.7674418605	347138.5542168675	317227.10950330645	326306.0749468037	317227.10950330645	116796.2420782722	0.7952760156872801	-15.681315546698805	0.6693677100522036	1.0	1.0	1.0	1.0	1.0	Charcot-Marie-Tooth disease, axonal, type 2W, 616625 (3), Autosomal dominant; Usher syndrome type 3B, 614504 (3), Autosomal recessive
HARS1	Patient7	605	431	350521.436848204	252785.9237536657	1726	1705	9.0	24.0	310319.7674418605	347138.5542168675	317227.10950330645	326306.0749468037	317227.10950330645	116796.2420782722	0.28506334409787787	-19.81171618241315	0.3015715018386736	1.0	1.0	1.0	1.0	1.0	Charcot-Marie-Tooth disease, axonal, type 2W, 616625 (3), Autosomal dominant; Usher syndrome type 3B, 614504 (3), Autosomal recessive
HARS1	Patient9	592	547	343786.29500580725	366376.42330877425	1722	1493	11.0	14.0	310319.7674418605	347138.5542168675	317227.10950330645	326306.0749468037	317227.10950330645	116796.2420782722	0.22739760312409613	-20.32210958038155	0.2561229429635777						Charcot-Marie-Tooth disease, axonal, type 2W, 616625 (3), Autosomal dominant; Usher syndrome type 3B, 614504 (3), Autosomal recessive
SRSF6	Patient10	248	345	177905.30846484934	158256.88073394497	1394	2180	10.0	8.0	126769.62676962678	67276.64155005381	138239.81160383418	108178.14236289564	138239.81160383418	91280.78331580703	0.43454378260299514	-19.508790080302404	0.3383291210868353						
