Isoform	Sample	cyclo_count	noncyclo_count	total_cyclo	total_noncyclo	Cyclo_TPM	Noncyclo_TPM	Cyclo_TPM_Rank	Noncyclo_TPM_Rank	Cyclo_TPM_Median	Noncyclo_TPM_Median	Cyclo_TPM_Mean	Noncyclo_TPM_Mean	associated_gene	gene_cyclo_count	gene_noncyclo_count	isoform_cyclo_proportion	isoform_noncyclo_proportion	Avg_Noncyclo_TPM	SD_Noncyclo_TPM	Noncyclo_TPM_Z_Score	test_statistic	z_score_of_test_stat	rank_top_99_9_percentile	rank_top_99_5_percentile	rank_top_99_percentile	rank_top_98_percentile	rank_top_95_percentile	Phenotypes
PB.161551.113	Patient12	0	9	1791	2004	0.0	4491.017964071856	23.0	3.0	0.0	0.0	1593.7473141837554	932.8418843042037	SRSF6	223.0	348.0	0.0	0.02586206896551724	932.8418843042037	2132.220370212808	1.668765634863776	-0.8378742870871536	2.365114376455748						
PB.161551.113	Patient28	32	3	1473	1202	21724.37202987101	2495.840266222962	1.0	5.0	0.0	0.0	1593.7473141837554	932.8418843042037	SRSF6	299.0	165.0	0.10702341137123746	0.01818181818181818	932.8418843042037	2132.220370212808	0.7330379184787367	-1.685134455617306	2.199957962953081						
PB.161551.113	Patient5	0	16	1596	1993	0.0	8028.098344204716	23.0	1.0	0.0	0.0	1593.7473141837554	932.8418843042037	SRSF6	354.0	682.0	0.0	0.02346041055718475	932.8418843042037	2132.220370212808	3.327637498929046	0.07268772053566418	2.5426102166197726						
PB.161551.113	Patient6	0	6	1602	1714	0.0	3500.583430571762	23.0	4.0	0.0	0.0	1593.7473141837554	932.8418843042037	SRSF6	77.0	89.0	0.0	0.06741573033707865	932.8418843042037	2132.220370212808	1.204257112510037	-1.1972305220332793	2.2950650703063915						
PB.161551.113	Patient8	1	9	1359	1179	735.8351729212657	7633.587786259542	13.0	2.0	0.0	0.0	1593.7473141837554	932.8418843042037	SRSF6	217.0	262.0	0.004608294930875576	0.03435114503816794	932.8418843042037	2132.220370212808	3.1426141479393914	-0.07268772053566407	2.5142721838047035						
PB.161551.121	Patient10	0	2	1394	2180	0.0	917.4311926605506	20.5	1.0	0.0	0.0	553.9135859123627	92.02115523982647	SRSF6	248.0	345.0	0.0	0.005797101449275362	92.02115523982647	226.11066238837702	3.6504693263998567	0.6521399930854378	3.033722659493216						
PB.161551.121	Patient11	0	1	1367	2226	0.0	449.23629829290206	20.5	4.0	0.0	0.0	553.9135859123627	92.02115523982647	SRSF6	299.0	1145.0	0.0	0.0008733624454148472	92.02115523982647	226.11066238837702	1.579824406685909	-1.0284892687368183	2.547921654751518						
PB.161551.121	Patient13	0	1	2218	2495	0.0	400.80160320641284	20.5	5.0	0.0	0.0	553.9135859123627	92.02115523982647	SRSF6	387.0	696.0	0.0	0.0014367816091954023	92.02115523982647	226.11066238837702	1.3656164848883257	-1.1926883205684193	2.5004584419124556						
PB.161551.121	Patient5	0	1	1596	1993	0.0	501.75614651279477	20.5	3.0	0.0	0.0	553.9135859123627	92.02115523982647	SRSF6	354.0	682.0	0.0	0.001466275659824047	92.02115523982647	226.11066238837702	1.8120993806527819	-0.8693128265685723	2.5939330370909506						
PB.161551.121	Patient6	0	1	1602	1714	0.0	583.4305717619603	20.5	2.0	0.0	0.0	553.9135859123627	92.02115523982647	SRSF6	77.0	89.0	0.0	0.011235955056179775	92.02115523982647	226.11066238837702	2.1733137718117366	-0.6521399930854379	2.656708797995122	1.0	1.0	1.0	1.0	1.0	
PB.161551.166	Patient8	0	1	1359	1179	0.0	848.1764206955047	17.5	1.0	0.0	0.0	284.10273841308265	27.36052969985499	SRSF6	217.0	262.0	0.0	0.003816793893129771	27.36052969985499	152.33698221100502	5.388159060803247	9.729920501882418	5.567764362830022	1.0	1.0	1.0	1.0	1.0	
PB.161551.18	Patient10	161	119	1394	2180	115494.97847919655	54587.15596330276	8.0	12.0	50237.61031907671	41351.1939429237	66146.65887260679	45828.29338733267	SRSF6	248.0	345.0	0.6491935483870968	0.34492753623188405	45828.29338733267	30897.59039733579	0.2834804417863388	-19.512720539719503	0.14625746194235617						
PB.161551.18	Patient11	122	132	1367	2226	89246.52523774689	59299.191374663074	13.0	11.0	50237.61031907671	41351.1939429237	66146.65887260679	45828.29338733267	SRSF6	299.0	1145.0	0.4080267558528428	0.11528384279475982	45828.29338733267	30897.59039733579	0.43598538960798583	-17.68410220546945	0.18675981216556992						
PB.161551.18	Patient12	183	145	1791	2004	102177.55443886097	72355.28942115768	10.0	8.0	50237.61031907671	41351.1939429237	66146.65887260679	45828.29338733267	SRSF6	223.0	348.0	0.820627802690583	0.4166666666666667	45828.29338733267	30897.59039733579	0.8585457860206587	-13.28922504270812	0.28410262597212915						
PB.161551.18	Patient13	265	226	2218	2495	119477.0063119928	90581.1623246493	6.0	2.0	50237.61031907671	41351.1939429237	66146.65887260679	45828.29338733267	SRSF6	387.0	696.0	0.6847545219638242	0.32471264367816094	45828.29338733267	30897.59039733579	1.4484258598099462	-8.32751046996463	0.39400040921583585						
PB.161551.18	Patient15	186	204	1376	2573	135174.41860465115	79284.88146132919	2.0	5.0	50237.61031907671	41351.1939429237	66146.65887260679	45828.29338733267	SRSF6	324.0	294.0	0.5740740740740741	0.6938775510204082	45828.29338733267	30897.59039733579	1.0828219173001072	-11.269296211662253	0.32884234196898254						
PB.161551.18	Patient21	175	81	1417	1328	123500.35285815103	60993.97590361446	4.0	10.0	50237.61031907671	41351.1939429237	66146.65887260679	45828.29338733267	SRSF6	334.0	122.0	0.5239520958083832	0.6639344262295082	45828.29338733267	30897.59039733579	0.4908370627370827	-17.061743360102952	0.20054453445967654						
PB.161551.18	Patient25	164	257	1372	1946	119533.527696793	132065.77595066803	5.0	1.0	50237.61031907671	41351.1939429237	66146.65887260679	45828.29338733267	SRSF6	341.0	346.0	0.4809384164222874	0.7427745664739884	45828.29338733267	30897.59039733579	2.791074690755541	8.32751046996463	0.762895043185819						
