Isoform,Sample,cyclo_count,noncyclo_count,total_cyclo,total_noncyclo,Cyclo_TPM,Noncyclo_TPM,Cyclo_TPM_Rank,Noncyclo_TPM_Rank,Cyclo_TPM_Median,Noncyclo_TPM_Median,Cyclo_TPM_Mean,Noncyclo_TPM_Mean,associated_gene
PB.59138.287,Patient7,0,3,1726,1705,0.0,1759.5307917888563,25.5,9.0,1577.2870662460568,0.0,2022.8745626685459,1336.468100913653,DND1_HARS1
PB.59138.287,Patient8,0,5,1359,1179,0.0,4240.882103477523,25.5,5.0,1577.2870662460568,0.0,2022.8745626685459,1336.468100913653,DND1_HARS1
PB.59138.287,Patient9,1,12,1722,1493,580.7200929152149,8037.5083724045535,19.0,1.0,1577.2870662460568,0.0,2022.8745626685459,1336.468100913653,DND1_HARS1
PB.59138.305,Patient1,2,0,1902,1717,1051.5247108307044,0.0,17.0,22.5,1433.6917562724013,0.0,2366.2445740742455,885.6734207513038,DND1_HARS1
PB.59138.305,Patient10,0,6,1394,2180,0.0,2752.2935779816517,26.0,5.0,1433.6917562724013,0.0,2366.2445740742455,885.6734207513038,DND1_HARS1
PB.59138.305,Patient11,0,2,1367,2226,0.0,898.4725965858041,26.0,10.0,1433.6917562724013,0.0,2366.2445740742455,885.6734207513038,DND1_HARS1
PB.59138.305,Patient12,0,3,1791,2004,0.0,1497.005988023952,26.0,8.0,1433.6917562724013,0.0,2366.2445740742455,885.6734207513038,DND1_HARS1
PB.59138.305,Patient13,0,10,2218,2495,0.0,4008.016032064128,26.0,2.0,1433.6917562724013,0.0,2366.2445740742455,885.6734207513038,DND1_HARS1
PB.59138.305,Patient14,0,0,1161,1708,0.0,0.0,26.0,22.5,1433.6917562724013,0.0,2366.2445740742455,885.6734207513038,DND1_HARS1
PB.59138.305,Patient15,5,0,1376,2573,3633.720930232558,0.0,8.0,22.5,1433.6917562724013,0.0,2366.2445740742455,885.6734207513038,DND1_HARS1
PB.59138.305,Patient16,2,0,1395,1271,1433.6917562724013,0.0,16.0,22.5,1433.6917562724013,0.0,2366.2445740742455,885.6734207513038,DND1_HARS1
PB.59138.305,Patient17,4,0,975,1227,4102.5641025641025,0.0,7.0,22.5,1433.6917562724013,0.0,2366.2445740742455,885.6734207513038,DND1_HARS1
PB.59138.305,Patient18,0,0,988,1387,0.0,0.0,26.0,22.5,1433.6917562724013,0.0,2366.2445740742455,885.6734207513038,DND1_HARS1
PB.59138.305,Patient19,3,0,1229,1548,2441.0089503661516,0.0,13.0,22.5,1433.6917562724013,0.0,2366.2445740742455,885.6734207513038,DND1_HARS1
PB.59138.305,Patient2,13,4,1277,1085,10180.109631949883,3686.6359447004606,2.0,3.0,1433.6917562724013,0.0,2366.2445740742455,885.6734207513038,DND1_HARS1
PB.59138.305,Patient20,1,1,1888,1738,529.6610169491526,575.3739930955121,19.0,11.0,1433.6917562724013,0.0,2366.2445740742455,885.6734207513038,DND1_HARS1
PB.59138.305,Patient21,3,0,1417,1328,2117.148906139732,0.0,15.0,22.5,1433.6917562724013,0.0,2366.2445740742455,885.6734207513038,DND1_HARS1
PB.59138.305,Patient22,1,0,1221,2106,819.0008190008191,0.0,18.0,22.5,1433.6917562724013,0.0,2366.2445740742455,885.6734207513038,DND1_HARS1
PB.59138.305,Patient23,7,0,665,1159,10526.315789473683,0.0,1.0,22.5,1433.6917562724013,0.0,2366.2445740742455,885.6734207513038,DND1_HARS1
PB.59138.305,Patient24,7,0,1059,1661,6610.0094428706325,0.0,3.0,22.5,1433.6917562724013,0.0,2366.2445740742455,885.6734207513038,DND1_HARS1
PB.59138.305,Patient25,4,0,1372,1946,2915.451895043732,0.0,11.0,22.5,1433.6917562724013,0.0,2366.2445740742455,885.6734207513038,DND1_HARS1
PB.59138.305,Patient26,6,0,1690,1469,3550.2958579881656,0.0,9.0,22.5,1433.6917562724013,0.0,2366.2445740742455,885.6734207513038,DND1_HARS1
PB.59138.305,Patient27,2,2,917,1439,2181.0250817884407,1389.854065323141,14.0,9.0,1433.6917562724013,0.0,2366.2445740742455,885.6734207513038,DND1_HARS1
PB.59138.305,Patient28,5,0,1473,1202,3394.4331296673454,0.0,10.0,22.5,1433.6917562724013,0.0,2366.2445740742455,885.6734207513038,DND1_HARS1
PB.59138.305,Patient29,5,0,1044,1857,4789.272030651341,0.0,6.0,22.5,1433.6917562724013,0.0,2366.2445740742455,885.6734207513038,DND1_HARS1
PB.59138.305,Patient3,1,1,1987,2019,503.27126321087064,495.2947003467063,20.0,13.0,1433.6917562724013,0.0,2366.2445740742455,885.6734207513038,DND1_HARS1
PB.59138.305,Patient30,8,0,1658,1808,4825.090470446321,0.0,5.0,22.5,1433.6917562724013,0.0,2366.2445740742455,885.6734207513038,DND1_HARS1
PB.59138.305,Patient31,5,0,966,1858,5175.983436853002,0.0,4.0,22.5,1433.6917562724013,0.0,2366.2445740742455,885.6734207513038,DND1_HARS1
PB.59138.305,Patient4,4,0,1554,1450,2574.002574002574,0.0,12.0,22.5,1433.6917562724013,0.0,2366.2445740742455,885.6734207513038,DND1_HARS1
PB.59138.305,Patient5,0,1,1596,1993,0.0,501.75614651279477,26.0,12.0,1433.6917562724013,0.0,2366.2445740742455,885.6734207513038,DND1_HARS1
PB.59138.305,Patient6,0,4,1602,1714,0.0,2333.7222870478413,26.0,6.0,1433.6917562724013,0.0,2366.2445740742455,885.6734207513038,DND1_HARS1
PB.59138.305,Patient7,0,5,1726,1705,0.0,2932.551319648094,26.0,4.0,1433.6917562724013,0.0,2366.2445740742455,885.6734207513038,DND1_HARS1
PB.59138.305,Patient8,0,2,1359,1179,0.0,1696.3528413910094,26.0,7.0,1433.6917562724013,0.0,2366.2445740742455,885.6734207513038,DND1_HARS1
PB.59138.305,Patient9,0,7,1722,1493,0.0,4688.546550569324,26.0,1.0,1433.6917562724013,0.0,2366.2445740742455,885.6734207513038,DND1_HARS1
PB.59138.479,Patient1,549,620,1902,1717,288643.53312302835,361094.93302271405,19.0,9.0,292151.1627906977,320030.1204819277,297745.67270134075,310354.51345884235,HARS1
PB.59138.479,Patient10,372,532,1394,2180,266857.962697274,244036.69724770644,21.0,23.0,292151.1627906977,320030.1204819277,297745.67270134075,310354.51345884235,HARS1
PB.59138.479,Patient11,221,389,1367,2226,161667.88588149232,174752.9200359389,28.0,30.0,292151.1627906977,320030.1204819277,297745.67270134075,310354.51345884235,HARS1
PB.59138.479,Patient12,476,417,1791,2004,265773.3109994416,208083.83233532935,22.0,26.0,292151.1627906977,320030.1204819277,297745.67270134075,310354.51345884235,HARS1
PB.59138.479,Patient13,515,453,2218,2495,232191.16321009918,181563.126252505,26.0,29.0,292151.1627906977,320030.1204819277,297745.67270134075,310354.51345884235,HARS1
PB.59138.479,Patient14,331,457,1161,1708,285099.052540913,267564.4028103045,20.0,22.0,292151.1627906977,320030.1204819277,297745.67270134075,310354.51345884235,HARS1
PB.59138.479,Patient15,402,945,1376,2573,292151.1627906977,367275.5538282161,16.0,8.0,292151.1627906977,320030.1204819277,297745.67270134075,310354.51345884235,HARS1
PB.59138.479,Patient16,606,622,1395,1271,434408.6021505376,489378.4421715185,2.0,1.0,292151.1627906977,320030.1204819277,297745.67270134075,310354.51345884235,HARS1
PB.59138.479,Patient17,375,523,975,1227,384615.3846153846,426242.8687856561,5.0,4.0,292151.1627906977,320030.1204819277,297745.67270134075,310354.51345884235,HARS1
PB.59138.479,Patient18,304,556,988,1387,307692.3076923077,400865.1766402307,14.0,6.0,292151.1627906977,320030.1204819277,297745.67270134075,310354.51345884235,HARS1
PB.59138.479,Patient19,403,557,1229,1548,327908.8689991863,359819.1214470284,10.0,10.0,292151.1627906977,320030.1204819277,297745.67270134075,310354.51345884235,HARS1
PB.59138.479,Patient2,69,69,1277,1085,54032.88958496476,63594.47004608294,31.0,31.0,292151.1627906977,320030.1204819277,297745.67270134075,310354.51345884235,HARS1
PB.59138.479,Patient20,667,738,1888,1738,353283.89830508473,424626.0069044879,6.0,5.0,292151.1627906977,320030.1204819277,297745.67270134075,310354.51345884235,HARS1
PB.59138.479,Patient21,420,425,1417,1328,296400.84685956244,320030.1204819277,15.0,16.0,292151.1627906977,320030.1204819277,297745.67270134075,310354.51345884235,HARS1
PB.59138.479,Patient22,378,724,1221,2106,309582.30958230956,343779.67711301043,13.0,15.0,292151.1627906977,320030.1204819277,297745.67270134075,310354.51345884235,HARS1
PB.59138.479,Patient23,464,523,665,1159,697744.3609022556,451251.078515962,1.0,3.0,292151.1627906977,320030.1204819277,297745.67270134075,310354.51345884235,HARS1
PB.59138.479,Patient24,440,752,1059,1661,415486.3078375826,452739.313666466,3.0,2.0,292151.1627906977,320030.1204819277,297745.67270134075,310354.51345884235,HARS1
PB.59138.479,Patient25,339,699,1372,1946,247084.54810495628,359198.3556012333,25.0,11.0,292151.1627906977,320030.1204819277,297745.67270134075,310354.51345884235,HARS1
PB.59138.479,Patient26,213,523,1690,1469,126035.50295857988,356024.50646698434,30.0,12.0,292151.1627906977,320030.1204819277,297745.67270134075,310354.51345884235,HARS1
