Isoform	Sample	cyclo_count	noncyclo_count	total_cyclo	total_noncyclo	Cyclo_TPM	Noncyclo_TPM	Cyclo_TPM_Rank	Noncyclo_TPM_Rank	Cyclo_TPM_Median	Noncyclo_TPM_Median	Cyclo_TPM_Mean	Noncyclo_TPM_Mean	associated_gene	gene_cyclo_count	gene_noncyclo_count	isoform_cyclo_proportion	isoform_noncyclo_proportion	Avg_Cyclo_TPM	SD_Cyclo_TPM	Cyclo_TPM_Z_Score	test_statistic	z_score_of_test_stat	rank_top_99_9_percentile	rank_top_99_5_percentile	rank_top_99_percentile	rank_top_98_percentile	rank_top_95_percentile	Phenotypes
PB.161541.3	Patient4	9	3	1554	1450	5791.505791505791	2068.9655172413795	6.0	21.0	2822.8652081863092	3392.705682782019	3374.349287623454	4320.504916696668	novelGene_SRSF6_AS	9.0	6.0	1.0	0.5	3374.349287623454	3238.513568117495	0.7463783779320086	-14.584479233843311	0.3350565689583792						
PB.161541.3	Patient5	7	7	1596	1993	4385.964912280701	3512.2930255895635	8.0	15.0	2822.8652081863092	3392.705682782019	3374.349287623454	4320.504916696668	novelGene_SRSF6_AS	7.0	9.0	1.0	0.7777777777777778	3374.349287623454	3238.513568117495	0.3123703524408224	-19.112926758126168	0.22751177067016756						
PB.161541.3	Patient8	5	4	1359	1179	3679.175864606328	3392.705682782019	13.0	16.0	2822.8652081863092	3392.705682782019	3374.349287623454	4320.504916696668	novelGene_SRSF6_AS	6.0	5.0	0.8333333333333334	0.8	3374.349287623454	3238.513568117495	0.09412545927978484	-21.975345465280114	0.1595330117629358						
PB.161541.4	Patient11	3	1	1367	2226	2194.5866861741038	449.23629829290206	11.0	24.0	944.2870632672333	848.1764206955047	2194.2860325263987	1465.670973255149	novelGene_SRSF6_AS	6.0	5.0	0.5	0.2	2194.2860325263987	3068.637954529252	9.797625270889866e-05	-24.080949062739187	0.2578698587608141						
PB.161541.4	Patient14	4	0	1161	1708	3445.305770887166	0.0	6.0	28.0	944.2870632672333	848.1764206955047	2194.2860325263987	1465.670973255149	novelGene_SRSF6_AS	9.0	6.0	0.4444444444444444	0.0	2194.2860325263987	3068.637954529252	0.407679158277465	-17.734109324640862	0.3753276749286604						
PB.161541.4	Patient15	4	2	1376	2573	2906.9767441860463	777.3027594247959	9.0	19.0	944.2870632672333	848.1764206955047	2194.2860325263987	1465.670973255149	novelGene_SRSF6_AS	6.0	15.0	0.6666666666666666	0.13333333333333333	2194.2860325263987	3068.637954529252	0.23224985228633097	-20.125087215266046	0.3310790325921226						
PB.161541.4	Patient17	3	6	975	1227	3076.923076923077	4889.975550122249	8.0	3.0	944.2870632672333	848.1764206955047	2194.2860325263987	1465.670973255149	novelGene_SRSF6_AS	9.0	14.0	0.3333333333333333	0.42857142857142855	2194.2860325263987	3068.637954529252	0.2876315347315322	-19.32552714974269	0.3458760942900335						
PB.161541.4	Patient18	12	2	988	1387	12145.748987854251	1441.9610670511895	1.0	12.0	944.2870632672333	848.1764206955047	2194.2860325263987	1465.670973255149	novelGene_SRSF6_AS	21.0	12.0	0.5714285714285714	0.16666666666666666	2194.2860325263987	3068.637954529252	3.2429576583446997	4.657610040700855	0.7897201230487308						
PB.161541.4	Patient20	5	4	1888	1738	2648.3050847457625	2301.4959723820484	10.0	5.0	944.2870632672333	848.1764206955047	2194.2860325263987	1465.670973255149	novelGene_SRSF6_AS	8.0	13.0	0.625	0.3076923076923077	2194.2860325263987	3068.637954529252	0.14795458406855727	-21.436539149436683	0.3068086418853714						
PB.161541.4	Patient22	4	1	1221	2106	3276.0032760032764	474.8338081671415	7.0	22.0	944.2870632672333	848.1764206955047	2194.2860325263987	1465.670973255149	novelGene_SRSF6_AS	9.0	6.0	0.4444444444444444	0.16666666666666666	2194.2860325263987	3068.637954529252	0.3525072880886073	-18.443236480872535	0.36220421024492094						
PB.161541.4	Patient23	5	9	665	1159	7518.796992481202	7765.314926660914	4.0	1.0	944.2870632672333	848.1764206955047	2194.2860325263987	1465.670973255149	novelGene_SRSF6_AS	7.0	14.0	0.7142857142857143	0.6428571428571429	2194.2860325263987	3068.637954529252	1.7351382075216546	-6.750422155432698	0.5785973274805835						
PB.161541.4	Patient27	8	5	917	1439	8724.100327153763	3474.6351633078525	2.0	4.0	944.2870632672333	848.1764206955047	2194.2860325263987	1465.670973255149	novelGene_SRSF6_AS	21.0	11.0	0.38095238095238093	0.45454545454545453	2194.2860325263987	3068.637954529252	2.127919419424986	-4.657610040700856	0.6173279636380465						
PB.161541.4	Patient29	9	4	1044	1857	8620.689655172413	2154.0118470651587	3.0	6.0	944.2870632672333	848.1764206955047	2194.2860325263987	1465.670973255149	novelGene_SRSF6_AS	13.0	8.0	0.6923076923076923	0.5	2194.2860325263987	3068.637954529252	2.0942202103577463	-4.825453103943446	0.6142217752859039						
