associated_gene	Sample	cyclo_count	noncyclo_count	Cyclo_TPM	Noncyclo_TPM	total_cyclo	total_noncyclo	Cyclo_TPM_Rank	Noncyclo_TPM_Rank	Cyclo_TPM_Median	Noncyclo_TPM_Median	Cyclo_TPM_Mean	Noncyclo_TPM_Mean	Avg_Noncyclo_TPM	SD_Noncyclo_TPM	Noncyclo_TPM_Z_Score	test_statistic	z_score_of_test_stat	rank_top_99_9_percentile	rank_top_99_5_percentile	rank_top_99_percentile	rank_top_98_percentile	rank_top_95_percentile	Phenotypes
HARS1	Patient24	475	805	448536.35505193577	484647.80252859724	1059	1661	3.0	2.0	310319.7674418605	347138.5542168675	317227.10950330645	326306.0749468037	326306.0749468037	101959.16673329643	1.5529915813845552	-1.2990328505737454	0.956720624264737	1.0	1.0	1.0	1.0	1.0	Charcot-Marie-Tooth disease, axonal, type 2W, 616625 (3), Autosomal dominant; Usher syndrome type 3B, 614504 (3), Autosomal recessive
HARS1	Patient25	354	738	258017.4927113703	379239.4655704008	1372	1946	25.0	9.0	310319.7674418605	347138.5542168675	317227.10950330645	326306.0749468037	326306.0749468037	101959.16673329643	0.5191626444148928	-7.785079747317201	0.3512719834325662						Charcot-Marie-Tooth disease, axonal, type 2W, 616625 (3), Autosomal dominant; Usher syndrome type 3B, 614504 (3), Autosomal recessive
HARS1	Patient26	221	547	130769.23076923077	372362.15112321306	1690	1469	30.0	12.0	310319.7674418605	347138.5542168675	317227.10950330645	326306.0749468037	326306.0749468037	101959.16673329643	0.4517109903112715	-8.269069386689509	0.30609332931553496						Charcot-Marie-Tooth disease, axonal, type 2W, 616625 (3), Autosomal dominant; Usher syndrome type 3B, 614504 (3), Autosomal recessive
HARS1	Patient27	324	534	353326.0632497274	371091.03544127865	917	1439	8.0	13.0	310319.7674418605	347138.5542168675	317227.10950330645	326306.0749468037	326306.0749468037	101959.16673329643	0.4392440810312126	-8.359501905566672	0.29765178602840603						Charcot-Marie-Tooth disease, axonal, type 2W, 616625 (3), Autosomal dominant; Usher syndrome type 3B, 614504 (3), Autosomal recessive
HARS1	Patient3	609	838	306492.19929542026	415056.9588905399	1987	2019	17.0	7.0	310319.7674418605	347138.5542168675	317227.10950330645	326306.0749468037	326306.0749468037	101959.16673329643	0.8704551712931287	-5.398367644109303	0.5740627868216754						Charcot-Marie-Tooth disease, axonal, type 2W, 616625 (3), Autosomal dominant; Usher syndrome type 3B, 614504 (3), Autosomal recessive
HARS1	Patient9	592	547	343786.29500580725	366376.42330877425	1722	1493	11.0	14.0	310319.7674418605	347138.5542168675	317227.10950330645	326306.0749468037	326306.0749468037	101959.16673329643	0.3930038822971759	-8.697645971291989	0.2660872802118279						Charcot-Marie-Tooth disease, axonal, type 2W, 616625 (3), Autosomal dominant; Usher syndrome type 3B, 614504 (3), Autosomal recessive
SRSF6	Patient10	248	345	177905.30846484934	158256.88073394497	1394	2180	10.0	8.0	126769.62676962678	67276.64155005381	138239.81160383418	108178.14236289564	108178.14236289564	112904.70241676933	0.4435487388841593	-27.119735407341537	0.844305762970095						
SRSF6	Patient11	299	1145	218727.139722019	514375.5615453728	1367	2226	7.0	1.0	126769.62676962678	67276.64155005381	138239.81160383418	108178.14236289564	108178.14236289564	112904.70241676933	3.5977015171880575	9.377068587583715	2.2866401533291647	1.0	1.0	1.0	1.0	1.0	
SRSF6	Patient12	223	348	124511.44611948633	173652.69461077845	1791	2004	17.0	7.0	126769.62676962678	67276.64155005381	138239.81160383418	108178.14236289564	108178.14236289564	112904.70241676933	0.5799098783874754	-24.983774897140297	0.9287177926026218						
SRSF6	Patient13	387	696	174481.51487826873	278957.91583166335	2218	2495	11.0	3.0	126769.62676962678	67276.64155005381	138239.81160383418	108178.14236289564	108178.14236289564	112904.70241676933	1.512601068096898	-14.078141763083341	1.3597026459633943						
