Isoform	Sample	cyclo_count	noncyclo_count	total_cyclo	total_noncyclo	Cyclo_TPM	Noncyclo_TPM	Cyclo_TPM_Rank	Noncyclo_TPM_Rank	Cyclo_TPM_Median	Noncyclo_TPM_Median	Cyclo_TPM_Mean	Noncyclo_TPM_Mean	associated_gene	gene_cyclo_count	gene_noncyclo_count	isoform_cyclo_proportion	isoform_noncyclo_proportion	CycloFraction	NoncycloFraction	NormalizedCycloFraction	NormalizedNoncycloFraction	NormalizedFractionDifference	test_statistic	z_score_of_test_stat	rank_top_99_9_percentile	rank_top_99_5_percentile	rank_top_99_percentile	rank_top_98_percentile	rank_top_95_percentile	Phenotypes
PB.161541.4	Patient11	3	1	1367	2226	2194.5866861741038	449.23629829290206	11.0	24.0	944.2870632672333	848.1764206955047	2194.2860325263987	1465.670973255149	novelGene_SRSF6_AS	6.0	5.0	0.5	0.2	0.0021945866861741038	0.0004492362982929021	0.8300807955251709	0.1699192044748291	0.6601615910503418	25.375354559532525	0.6956577703412553						
PB.161541.4	Patient14	4	0	1161	1708	3445.305770887166	0.0	6.0	28.0	944.2870632672333	848.1764206955047	2194.2860325263987	1465.670973255149	novelGene_SRSF6_AS	9.0	6.0	0.4444444444444444	0.0	0.0034453057708871662	0.0	1.0	0.0	1.0	138.08704148430022	3.785615021323997	1.0	1.0	1.0	1.0	1.0	
PB.161541.4	Patient15	4	2	1376	2573	2906.9767441860463	777.3027594247959	9.0	19.0	944.2870632672333	848.1764206955047	2194.2860325263987	1465.670973255149	novelGene_SRSF6_AS	6.0	15.0	0.6666666666666666	0.13333333333333333	0.0029069767441860465	0.000777302759424796	0.7890217724624348	0.21097822753756515	0.5780435449248696	21.88051471827488	0.5998477793531385						
PB.161541.4	Patient18	12	2	988	1387	12145.748987854251	1441.9610670511895	1.0	12.0	944.2870632672333	848.1764206955047	2194.2860325263987	1465.670973255149	novelGene_SRSF6_AS	21.0	12.0	0.5714285714285714	0.16666666666666666	0.012145748987854251	0.0014419610670511895	0.8938775510204082	0.10612244897959183	0.7877551020408164	41.702019729982624	1.1432484222447525						
PB.161541.4	Patient2	1	0	1277	1085	783.0853563038371	0.0	17.0	28.0	944.2870632672333	848.1764206955047	2194.2860325263987	1465.670973255149	novelGene_SRSF6_AS	3.0	9.0	0.3333333333333333	0.0	0.0007830853563038371	0.0	1.0	0.0	1.0	92.46334543091521	2.534855013349959						
PB.161541.4	Patient20	5	4	1888	1738	2648.3050847457625	2301.4959723820484	10.0	5.0	944.2870632672333	848.1764206955047	2194.2860325263987	1465.670973255149	novelGene_SRSF6_AS	8.0	13.0	0.625	0.3076923076923077	0.0026483050847457626	0.0023014959723820483	0.5350326314493289	0.46496736855067106	0.07006526289865783	2.3018558390225046	0.06310469068972469						
PB.161541.4	Patient22	4	1	1221	2106	3276.0032760032764	474.8338081671415	7.0	22.0	944.2870632672333	848.1764206955047	2194.2860325263987	1465.670973255149	novelGene_SRSF6_AS	9.0	6.0	0.4444444444444444	0.16666666666666666	0.003276003276003276	0.0004748338081671415	0.8734059097978226	0.1265940902021773	0.7468118195956454	32.51144500409432	0.8912915596532754						
PB.161541.4	Patient25	3	3	1372	1946	2186.5889212827988	1541.623843782117	12.0	10.0	944.2870632672333	848.1764206955047	2194.2860325263987	1465.670973255149	novelGene_SRSF6_AS	9.0	6.0	0.3333333333333333	0.5	0.002186588921282799	0.001541623843782117	0.5864978902953587	0.41350210970464135	0.17299578059071735	5.591780307524281	0.15329698790392557						
PB.161541.4	Patient27	8	5	917	1439	8724.100327153763	3474.6351633078525	2.0	4.0	944.2870632672333	848.1764206955047	2194.2860325263987	1465.670973255149	novelGene_SRSF6_AS	21.0	11.0	0.38095238095238093	0.45454545454545453	0.008724100327153763	0.0034746351633078527	0.7151643163322359	0.2848356836677642	0.4303286326644717	17.3836354931122	0.4765671777784344						
PB.161541.4	Patient29	9	4	1044	1857	8620.689655172413	2154.0118470651587	3.0	6.0	944.2870632672333	848.1764206955047	2194.2860325263987	1465.670973255149	novelGene_SRSF6_AS	13.0	8.0	0.6923076923076923	0.5	0.008620689655172414	0.002154011847065159	0.8000861697544163	0.19991383024558382	0.6001723395088324	26.151437613145042	0.716933855584088						
